name,description,user_id,is_public,settings
"E-Commerce Platform","A full-featured online shopping platform with cart, payments, and inventory management",1,true,"{""theme"": ""modern"", ""features"": [""cart"", ""payments"", ""inventory""], ""version"": ""1.0""}"
"Personal Blog","A simple blogging platform for sharing thoughts and experiences",2,true,"{""theme"": ""minimal"", ""comments_enabled"": true, ""seo_optimized"": true}"
"Task Manager","Project management tool for tracking tasks, deadlines, and team collaboration",1,false,"{""board_view"": true, ""calendar_integration"": true, ""notifications"": true}"
"Recipe Sharing App","Social platform for sharing and discovering cooking recipes",3,true,"{""rating_system"": true, ""difficulty_levels"": [""easy"", ""medium"", ""hard""], ""dietary_filters"": true}"
"Fitness Tracker","Health and fitness monitoring application with workout plans and progress tracking",2,false,"{""workout_plans"": true, ""progress_charts"": true, ""social_features"": false}"
"Learning Management System","Educational platform for online courses, quizzes, and student progress tracking",4,true,"{""course_categories"": [""tech"", ""business"", ""arts""], ""certification"": true, ""video_support"": true}"
"Event Planning Tool","Comprehensive event management system for planning weddings, conferences, and parties",3,false,"{""vendor_management"": true, ""guest_lists"": true, ""budget_tracking"": true}"
"Inventory Management","Warehouse and inventory tracking system for businesses",1,false,"{""barcode_scanning"": true, ""low_stock_alerts"": true, ""supplier_integration"": true}"
"Social Media Dashboard","Analytics and management tool for multiple social media platforms",4,true,"{""platforms"": [""twitter"", ""facebook"", ""instagram""], ""analytics"": true, ""scheduling"": true}"
"Real Estate Portal","Property listing and management platform for real estate agents",2,true,"{""property_types"": [""residential"", ""commercial""], ""virtual_tours"": true, ""mortgage_calculator"": true}"
"Customer Support System","Helpdesk and ticket management system for customer service teams",3,false,"{""ticket_priorities"": [""low"", ""medium"", ""high"", ""urgent""], ""sla_tracking"": true, ""knowledge_base"": true}"
"Portfolio Website","Professional portfolio showcase for designers and developers",4,true,"{""gallery_support"": true, ""contact_forms"": true, ""responsive_design"": true}"
"Weather Monitoring","Environmental data collection and weather forecasting system",1,true,"{""sensors"": [""temperature"", ""humidity"", ""pressure""], ""forecasting"": true, ""alerts"": true}"
"Chat Application","Real-time messaging platform with group chats and file sharing",2,false,"{""encryption"": true, ""file_sharing"": true, ""group_chats"": true, ""voice_calls"": false}"
"Budget Tracker","Personal finance management tool for tracking expenses and income",3,false,"{""categories"": [""food"", ""transport"", ""entertainment""], ""reports"": true, ""goal_setting"": true}"
"Travel Planner","Trip planning and itinerary management application",4,true,"{""booking_integration"": true, ""maps"": true, ""expense_tracking"": true}"
"Music Streaming Service","Digital music platform with playlists and recommendations",1,true,"{""audio_quality"": ""high"", ""offline_mode"": true, ""recommendations"": true}"
"Document Management","Cloud-based document storage and collaboration platform",2,false,"{""version_control"": true, ""collaboration"": true, ""access_controls"": true}"
"Gaming Community","Social platform for gamers with tournaments and leaderboards",3,true,"{""tournaments"": true, ""leaderboards"": true, ""chat"": true, ""streaming"": false}"
"Appointment Scheduler","Online booking system for healthcare providers and service businesses",4,false,"{""calendar_sync"": true, ""reminders"": true, ""payment_integration"": true}"